189,CRAFTSBURY
228,SHEFFIELD
78,LEMINGTON
265,ESSEX
1236,RICHFORD
753,EDEN
752,MORGAN
556,ISLE LA MOTTE
1464,CAMBRIDGE
80,WHEELOCK
345,FLETCHER
671,CANAAN
1014,BRIGHTON
594,IRASBURG
1012,NORTH HERO
230,NORTON
998,TROY
929,JAY
81,BROWNINGTON
793,GLOVER
145,BARTON
435,HUNTINGTON
722,FAIRFIELD
364,WATERVILLE
560,ALBANY
71,MILTON
36,SHELBURNE
709,HIGHGATE
1597,ALBURGH
68,ST ALBANS
298,MAIDSTONE
364,WESTFIELD
121,HYDE PARK
458,LOWELL
112,STOWE
175,GEORGIA
596,JERICHO
1008,HINESBURG
434,HOLLAND
832,MONTGOMERY
188,BOLTON
469,JOHNSON
1270,SOUTH HERO
105,NEWARK
31,FERDINAND
22,WESTMORE
2632,NEWPORT CITY
161,BLOOMFIELD
113,GUILDHALL
283,MORRISTOWN
83,ENOSBURG
621,RICHMOND
571,CHARLESTON
192,BAKERSFIELD
973,NEWPORT TOWN
723,BERKSHIRE
63,BRUNSWICK
30,GREENSBORO
610,COVENTRY
360,ST GEORGE
51,AVERILL
6,WARREN GORE
690,FAIRFAX
507,SWANTON
908,FRANKLIN
377,SHELDON
548,UNDERHILL
221,STARKSBORO
2895,DERBY
160,BELVIDERE
816,WILLISTON
9,LYNDON
1358,GRAND ISLE
546,WESTFORD
